Date,Number of Cases Today,Number of Tests Today,Number of Deaths Today,Number of Healing Today
2-SEPTEMBER-2021,23496,305047,283,20004
1-SEPTEMBER-2021,23946,302869,290,15164
31-AUGUST-2021,21893,297167,252,14106
30-AUGUST-2021,19557,283250,245,13401
29-AUGUST-2021,17332,286425,255,11396
28-AUGUST-2021,17912,290186,245,12175
27-AUGUST-2021,18340,295647,244,14528
26-AUGUST-2021,19616,297068,257,15205
25-AUGUST-2021,19970,296711,217,16651
24-AUGUST-2021,19191,293037,230,15373
23-AUGUST-2021,18857,282528,232,15833
22-AUGUST-2021,18622,265196,206,13263
21-AUGUST-2021,19351,282857,232,13163
20-AUGUST-2021,19918,293252,204,15561
19-AUGUST-2021,19320,292538,216,14743
18-AUGUST-2021,19944,295206,168,15537
17-AUGUST-2021,21692,294561,183,14636
16-AUGUST-2021,18163,287947,165,16642
15-AUGUST-2021,18847,281184,154,14426
14-AUGUST-2021,19949,284947,145,15364
13-AUGUST-2021,21372,285242,157,16492
12-AUGUST-2021,22261,281535,138,15685
11-AUGUST-2021,27356,278263,128,16363
10-AUGUST-2021,26597,264647,124,14954
9-AUGUST-2021,23731,245253,117,7365
8-AUGUST-2021,22699,239637,108,5835
7-AUGUST-2021,25100,246037,112,6758
6-AUGUST-2021,23957,243280,101,6941
5-AUGUST-2021,24297,245152,108,6636
4-AUGUST-2021,26822,262048,122,6096
3-AUGUST-2021,24832,256163,126,6243
2-AUGUST-2021,22898,270426,91,5947
1-AUGUST-2021,20890,251224,96,5539
31-JULY-2021,22332,259196,79,5107
30-JULY-2021,22083,256460,69,5752
29-JULY-2021,22161,261198,60,5463
28-JULY-2021,22291,257474,76,4197
27-JULY-2021,19761,246648,51,7108
26-JULY-2021,16809,224198,63,5585
25-JULY-2021,14230,223837,55,5211
24-JULY-2021,12381,221463,58,5383
23-JULY-2021,11094,219528,60,5215
22-JULY-2021,9586,214196,52,5093
21-JULY-2021,8151,184462,59,4946
20-JULY-2021,8780,198537,46,4561
19-JULY-2021,7667,226513,50,4152
18-JULY-2021,7680,233946,66,5835
17-JULY-2021,7666,234161,38,5490
16-JULY-2021,6918,229582,35,5084
15-JULY-2021,7304,232257,48,5103
14-JULY-2021,6907,238867,43,5063
13-JULY-2021,6285,234439,46,5162
12-JULY-2021,5404,227273,49,5506
11-JULY-2021,5261,222068,37,5242
10-JULY-2021,5530,224184,37,5217
9-JULY-2021,5670,228826,59,5126
8-JULY-2021,5171,226427,48,5012
7-JULY-2021,5160,225253,52,4636
6-JULY-2021,5299,226651,37,4446
5-JULY-2021,4678,219737,35,4735